用户,评分,评论内容,评论时间,用户地址
c***1,5,小新笔记本电脑很棒，酷睿Ultra真的好用，一点也不卡顿，非常流畅，电脑精致好用，这个价位能买到这个电脑，真的超值，很适合每日使用，很满意的一台笔记本电脑，值得拥有。,2025-02-12 15:33:15,浙江
w***哈,5,"联想小新Pro16 AI超能本 高性能轻薄本酷睿Ultra5 ，非常好，应用的很开心！非常非常好很喜欢





运行速度：以上都很好，年前最好的礼物！",2025-01-26 20:21:46,山东
拉***狗,5,这款机器很不错自带的是&ldquo;酷睿UItra&rdquo;芯片，用起来很顺手机器也很丝滑，音质效果嘎嘎棒，板正的很，买电脑还是要认准大品牌,2025-01-27 23:22:10,四川
非***2,5,&ldquo;酷睿Ultra&rdquo;芯片性能强大，电脑运行速度快，屏幕高清，散热效果好，外观大气上档次，超薄。物超所值的产品。,2025-02-03 21:54:52,江苏
j***j,5,"运行速度：非常快
屏幕效果：很清晰
外形外观：很美观
轻薄程度：非常轻
新买的电脑很喜欢，系统使用很流畅，颜色很好看，很轻薄，适合外出出差办公，非常棒的一次购物体验！",2025-02-15 22:35:30,陕西
c***6,5,"散热性能：挺好的
运行速度：搭载了酷睿Ultra 处理器，非常快，超出预期
屏幕效果：高刷屏，很好
轻薄程度：很轻很薄",2025-01-20 16:55:03,北京
懒***奇,5,酷睿Ultra 处理器很流畅，全能本用这个处理器也算是顶配了，联想AI功能很强大，oled屏幕很鲜艳，特别适合看剧，杜比全景声也很震撼，充电速度快，充电头也很小巧，特别是机身的重量也很小巧。,2025-01-24 12:04:19,江苏
j***F,5,"快递非常快，下单的第二天就到了
运行速度：非常棒！这款电脑用到了酷睿Ultra的CPU，不管是日常工作学习还是玩游戏，运行速度都非常快！
屏幕效果：显示很细腻，色彩很棒！",2025-02-15 16:20:12,江苏
爱***_,5,酷睿UItra 外观简洁，大方好看，非常有高级感，运行速度快，非常流畅，散热嘎嘎好，简单的游戏运行完全没问题，真的非常不错,2025-01-20 18:42:53,江苏
7***i,5,机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&rdquo;新型芯片。外观时尚，16寸大机器。小誉也很好。,2025-01-21 14:03:54,北京
有***g,5,不得不说，这商品太值了，物美价廉，质量出色。物流快，商家服务周到，售后有保障。这款小新的笔记本确实不错，一贯采用了联想的高端品质，总体来说使用体验感还是很不错的。相对于其他品牌价格还是很有优势的，而且这款搭载的是最新的处理器 酷睿 ultra，开机开机时间短，总体来说运行速度还是很快的，总体重量还是很轻的大小也不大，适合女生和办公人士进行使用。,2025-01-20 18:28:38,江苏
0***l,5,"运行速度：非常快
屏幕效果：很清晰
散热性能：散热很好
外形外观：颜色特别高级，外观很漂亮
'酷睿Ultra'很值得入手",2025-02-15 19:01:57,安徽
j***o,5,入手这款搭载酷睿 Ultra的联想小新16pro有几天了，和之前的电脑比用起来真的舒服了很多。之前的电脑耗电快，且开的软件多了就特别卡，现在换了这款电脑后同时开多个办公软件，再加上浏览器十几个页面，完全不卡顿，响应速度超快。而且续航也很给力，充满电外出办公一整天都不虚。机身轻薄方便携带，颜值还超高。适合上班族和学习党，活动价格也特别优惠，强烈推荐！！！,2025-02-16 13:00:36,湖北
呀***鱼,5,对比了好久还是选择了联想小新酷睿Ultra，平时用来剪视频没得说。客服星星态度特别好，很有耐心，给大大好评,2025-01-20 18:56:08,广东
y***p,5,小新Pro16 AI超能本 高性能轻薄本酷睿Ultra，这款电脑自己买了一台，体验感很不错，又推荐给了家人，奈斯！,2025-02-08 19:16:30,湖南
F***9,5,"联想小新Pro14外观非常漂亮，也很轻巧。酷睿Ultra性能👍，运行速度快。
屏幕效果：观感很舒服。",2025-02-05 13:50:03,广东
小***翼,5,"全新小新Pro14酷睿Ultra标压版
酷睿Ultra 5 125H 14核标压处理器，32G极速内存，64W性能释放，120Hz高刷显示器，性价比很好。手感不错",2025-02-11 23:04:35,江苏
j***v,5,"屏幕大 性能高 是酷睿Ultra处理器 画面更加流畅
特别适合视觉体验要求较高的用户 时尚与轻薄皆备❤️",2025-01-18 23:03:02,河南
u***1,5,我购买的是联想笔记本电脑小新Pro16 2024 AI超能本 高性能标压酷睿Ultra5 16英寸轻薄本 32G 1T 2.5K这款，打游戏还是比较流畅的，它的ai功能非常使用，外观大气，最重要的是屏幕是2.5k图像很清晰，视觉效果不错！值得推荐！,2025-01-21 11:57:14,四川
胡***i,5,"小新pro14&lsquo;酷睿Ultra
特别轻薄屏幕清晰非常适合我这种上班一直背着的上班族，特别期待首次使用",2025-02-08 19:17:34,山东
1***z,5,"屏幕效果：屏幕分辨率细腻！
运行速度：快
外形外观：外观造型好看！
轻薄程度：很好👍！
散热能力：可以！",2025-01-22 21:43:12,广东
是***人,5,很喜欢联想的电脑  这款小新14Pro酷睿UItra 电脑是朋友推荐购买的   加上国补价格后 非常实惠  手感很好，摸着很舒服，很高级的感觉，用着心情都变好了,2025-02-14 18:06:05,江苏
高***9,5,"我买的是联想笔记本电脑小新Pro14 2024 高性能标压酷睿Ultra5 14英寸AI轻薄本 32G 1T 2.8K高刷屏 酷睿Ultra性能真的很棒，过年可以打游戏了
运行速度：厉害厉害的",2025-01-17 15:29:05,江苏
-***-,5,最近入手了搭载酷睿Ultra处理器的笔记本电脑，使用体验简直太棒了！首先，酷睿Ultra的性能表现非常出色，多任务处理毫无压力，办公和娱乐都能轻松应对。其次，续航能力让我惊喜，轻度使用一天都不用充电。散热效果也很不错，长时间使用机身依然保持冷静。总的来说，酷睿Ultra让我的工作和生活效率都提升了不少，真心推荐！,2025-02-12 16:42:09,广东
1***f,5,电脑外观简洁大方，&ldquo;酷睿Ultra&rdquo;性能强劲，使用起来非常舒适，电脑屏幕非常清晰，色彩鲜艳，电脑键盘手感非常好，打起字来非常舒适，而且按键反应灵敏,2025-01-17 22:54:54,辽宁
j***w,5,这款联想小新14Pro笔记本电脑真的很棒！搭载&ldquo;酷睿Ultra&rdquo;处理器，具有AI功能，大容量，性能强大，外观精美，非常适合女生，它轻便适合办公，还有小林客服服务态度很好，解答问题及时。物流也很给力，好评满分！,2025-02-09 20:52:21,广东
j***y,5,"电脑非常好用速度快。
运行速度：快
屏幕效果：清晰
散热性能：不错
轻薄程度：还可以
外形外观：简单大气
非常好用",2025-01-23 10:26:58,江苏
j***4,5,在网上关注联想小新pro16很久了，内置的酷睿Ultra处理是非常高性能的，拿到手后，笔记本电脑很轻薄，整体上手感觉很好。开机以后，屏幕的素质也很不错，整体很适合女孩子，值得入手。酷睿Ultra就是棒。,2025-01-27 21:07:58,安徽
j***k,5,"酷睿Ultra让我惊艳到了，性价比超高。卖家耐心解答问题，物流也超快，给满分！
购物很开心，商品实惠好用搭配补贴到手价格真香。",2025-02-08 20:24:22,山东
l***i,5,运行速度：非常流畅，丝滑  屏幕效果：护眼，看了3个小时不累眼  外形外观：小巧便捷！看我的书就知道了，比课外书大一点点  另外，高考生考完第一次买笔记本，还是非常满意的，办公软件已经预装好了直接领取  不懂的可以直接问客服，特别有耐心特别好！,2025-01-27 23:14:53,四川
d***q,5,酷睿Ultra是我用过最好用的电脑，丝滑不卡顿，用来完成大学的课程作业刚刚好，好评！小林客服也很好！,2025-02-15 10:26:03,江苏
j***4,5,酷睿Ultra'联想小新Pro16笔记本收到包装完好，轻薄，一到手迫不及待打开，品质很好，屏幕够大，完美，性价比高，买了32g1T的，内存完全 ok，国补券后很划算，运行速度快，外观颜色大气，散热好。想买笔记本的，这款可以入手。,2025-02-16 19:11:00,江苏
钱***s,5,非常满意的一次购物，产品外观和质量都很棒，物流速度快，商家服务专业。包装很完美，颜值很高，感觉物超所值！客服也非常耐心细致，发货快物流给力，以后还会再来☺️,2025-02-14 10:36:36,北京
我***天,5,"运行速度：速度真快，比我之前的电脑快太多了
屏幕效果：色彩很丰富，看起来很舒服
散热性能：散热很好，键盘一点都感觉不到热
外形外观：外观简洁，看起来很有特点
轻薄程度：比预想的要薄
其他特色：酷睿Ultra 再配上ai智能，用起来很方便",2025-02-06 19:56:25,广东
j***荷,5,笔记本电脑外观呈灰色，简单大气上档次，看起来很舒服！酷睿Ultra很牛!智能AI、联想AI、酷睿AI!牛的!质量很好!新电脑用得特别舒服，oled屏幕很鲜艳，内存够大!!很好用，使用体验感非常强!!买它!使用感满满的!!续航也很好!!!,2025-02-04 22:44:05,湖北
j***f,5,"这款电脑性能不错，处理器很好，&lsquo;酷睿Uitra'的核心，比前面买的几款电脑要好，质感非常好，整个颜色搭配也比较好，京东送货也比较给力。14寸的屏幕用起来正好，相对来
讲处理器选的比较高端一点的。",2025-02-15 10:40:21,江苏
挚***9,5,"酷睿Ultra很棒啊
运行速度：很快
屏幕效果：很好
散热性能：不错
外形外观：外观简洁大气，也很轻薄，适合学习办公。
散热能力：很好
运行速度：流畅",2025-01-23 17:34:28,山东
筱***羊,5,&lsquo;酷睿Ultra'外观手感都不错，重量轻，屏幕不晃眼，触板光滑手感好。开机速度比较快，自带开盖开机。这款机器给学生党是很不错的选择。,2025-01-20 22:33:18,江苏
吴***1,5,这款机器的整体配置比较均衡，内置了&ldquo;酷睿UItra&rdquo;新型芯片，性能上不用担心。性价比很高，外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器,2025-01-24 19:09:03,山东
少***恼,5,这款小新的笔记本不错，采用了联想的高端品质，总体来说使用体验感还是很不错的。相对于其他品牌价格还是很有优势的，而且这款搭载的是最新的处理器 酷睿 ultra，开机开机时间短，总体来说运行速度还是很快的，总体重量还是很轻的大小也不大，适合办公人士进行使用。,2025-01-31 15:49:24,海外
s***r,5,性能：搭载酷睿ultra 9处理器，速度快，多任务处理流畅。  设计：时尚轻薄，金属机身，质感出众，便于携带。  显示：16寸IPS高清显示大屏幕，高分辨率，色彩鲜活，视觉享受。  续航：电池续航能力强，能够满足全天使用需求。  体验：键盘手感很好，散热效果佳，运行安静，整体体验上乘！,2025-01-29 04:06:12,青海
j***g,5,"客服服务态度很好，快递也不赖，希望老板生意越来越好！！！
运行速度：酷睿Ultra超级快，联想小新这款电脑特别好用！",2025-01-23 09:52:45,广东
安***总,5,商品物美价廉，质量让人惊喜。物流很棒，商家服务贴心，售后处理也让人满意。发货很快，包装的很好，价格也特别实惠，还有这么多功效也是不错了，值得购买联想笔记本酷睿Ultra性价比拉满。,2025-01-21 16:12:53,江苏
j***p,5,"这款电脑性能不错，处理器很好，'酷睿Ultra'的
核心，比前面买的几款电脑要好，质感非常好，
整个颜色搭配也比较好，京东送货也比较给力。
16寸的屏幕用起来正好，相对来讲处理器选的比
较高端一点的。",2025-02-15 12:58:13,天津
k***m,5,酷睿Utra很牛！智能AI、想AI、酷睿AI! 质量很好！新电脑用这特别舒服，还记得19年也买了一款小新笔记本，然后一直用了很多年，现在可以光荣退休了，oled屏幕很鲜艳，特别适合看剧，杜比全景声也很震撼，充电速度快，充电头也很小巧，特別是机身的重量也很小巧。,2025-02-16 23:06:06,陕西
j***6,5,酷睿Ultra真的很好，性价比也很高，质量也很好，物流也快啊！上午下单下午就到货了！运行很流畅，屏幕素质很好，清晰通透，外形也很有科技感，力推力推！,2025-01-17 15:41:57,山东
z***赵,5,发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评这次购物超级满意，商品实惠好用，质量绝佳。物流高效，商家服务热情，售后无忧。,2025-02-07 14:01:56,安徽
j***h,5,"入手这台搭载&ldquo;酷睿Ultra&rdquo;处理器的笔记本电脑有一段时间了，必须要来给大家分享一下我的使用感受，真的太惊艳了！
 
外观设计简约时尚，线条流畅，机身轻薄便携，无论是日常通勤、出差还是外出学习，随手放进背包里就能轻松带走，完全没有负担，颜值和实用性双双在线。",2025-02-05 21:02:46,广东
j***5,5,"运行速度：运行速度超级快。酷睿Ultra性能强悍。
外形外观：外观设计感在线，简约大气。
轻薄程度：小巧轻便，方便随身携带",2025-02-09 20:59:47,浙江
大***8,5,"货收到后就拆开用了，质量很好，东西和官网买的没有什么区别。货收到后就拆开用了，质量很好，东西和官网买的没有什么区别。一如既往的好品质，非常喜欢的一款产品，非常棒！
o(*￣︶￣*)o酷睿Ultra智能a级棒。
辰辰客服不错的呢",2025-02-15 19:04:29,江苏
_***_,5,"运行速度：很快
屏幕效果：很清晰
散热性能：很好
外形外观：很喜欢，很有质感，灰色也很高级
轻薄程度：超级轻薄，方便携带
其他特色：内存很大，键盘有背景灯，暗处使用很友好
散热能力：很强
拍的是&ldquo;小新Pro14 AI元启高性能轻薄本酷睿Ultra9 32G 1T 2.8K OLED高刷屏游戏&rdquo;，很是满意，推荐❤️",2025-01-30 22:21:35,江西
雨***晨,5,正品店铺，放心购买，客服态度也很OK，整个购物过程非常顺利！使用过程非常满意，酷睿Ultra性能非常强劲，太棒了,2025-02-06 20:01:05,山东
j***f,5,酷睿Ultra让我惊艳到了，性价比超高。卖家耐心解答问题，物流也超快，给满分！买了酷睿Ultra，体验极佳。产品质量上乘，卖家服务周到，发货迅速，强烈推荐给大家！感谢卖家推荐的酷睿Ultra，质量好且价格实惠。卖家服务态度好，发货迅速，下次还会光顾！,2025-02-13 23:40:08,黑龙江
平***9,5,"酷睿ultra
散热性能：很好
屏幕效果：清晰
运行速度：流畅
外形外观：商务低调
轻薄程度：使用手感好
小柿子客服不错",2025-02-14 19:10:14,黑龙江
j***2,5,挑了很久，最终选择了这款，性价比很高，便携轻薄，用来商务办公非常合适oled屏幕色彩丰富 酷睿ultra处理器性能非常棒反应迅速,2025-02-15 22:22:47,江苏
大***食,5,续航能力强，比较有质感，酷睿Ultra的运行速度满意，性价比比较高，有朋友需要会推荐该本本的。非常满意全五星好评谢谢卖家。,2025-01-18 02:36:07,北京
l***7,5,"运行速度：快
屏幕效果：清晰
散热性能：好
外形外观：喜欢
轻薄程度：满意
其他特色：联想小新pro14/酷睿U1tra9，配置豪华，一次不错购物；办公笔记本最近看了好久了，第一眼相中这款，物美价廉，正好赶上国补，果断下手。",2025-01-21 17:48:06,广东
j***d,5,"电脑很不错
运行速度：很快 一下子就打开了
屏幕效果：超级清晰 推荐购买产品
外形外观：看起来很高级",2025-01-25 22:07:35,福建
j***w,5,"酷睿ultra
运行速度：快得很
屏幕效果：很大看盘很爽
散热性能：散热好，风扇噪音小
外形外观：大气
轻薄程度：便携",2025-02-05 22:29:01,黑龙江
j***g,5,跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！商品质量不错，细节、品质、做工都非常好，发货贼快，快递也给力，棒棒哒~🌸🌸🌸,2025-01-18 18:12:37,湖北
j***7,5,"🎁宝贝质量很好，收到货第一时间打开看了，很不错👍，很满意😃，客服也有问必答，感谢🙏
买电脑还是要买联想笔记本电脑，寒假了给孩子打游戏绰绰有余。联想笔记本电脑小新Pro14 2024 高性能标压酷睿Ultra5 真的很不错哦。",2025-01-21 16:34:09,江苏
j***h,5,"刚刚入手了这款搭载酷睿Ultra 处理器的笔记本电脑。
使用体验：非常棒！开机速度：快，运行流畅，给日常办公使用，跑ai模型，能轻松应对。外观设计：简约大方，质感很好。",2025-02-10 10:54:59,山东
9***5,5,总体来说，确实很不错，客服的服务态度也很棒，说话几乎马上就会回消息，物超所值，真心推荐物美价廉，物流给力，值得回购非常满意😘，材质做工非常好，而且百搭，手感也很棒，非常nice，实用性非常强，赞👍,2025-01-19 16:50:47,山西
j***d,5,这款机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&quot;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。 拥有一块很能打的120赫兹的高刷屏}幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证， 最重要的是16寸大屏幕。,2025-01-24 09:19:37,山东
j***n,5,这款机器的整体配置比较均衡，内置了&ldquo;酷睿ultra&rdquo;芯片，性能上用个三年没问题，速度很快。,2025-01-25 15:31:47,湖北
z***m,5,"非常值得信赖的品牌，质量有保障，价格还亲民，相当满意
含&lsquo;酷睿Ultra&rsquo;
运行速度：超级快
这个价格真的很不错了
散热性能：超级好
外形外观：美观大气",2025-02-03 17:20:47,四川
千***氵,5,"爱了爱了！这款机器的整体配置比较均衡，内置了 &ldquo;酷睿Ultra&rdquo;新型芯片，性能上应该三年之内都不用 担心。外观上全金属机身，很有时尚气质，貌似商 务机又不失灵动。拥有一块很能打的120赫兹的高 刷屏幕，全尺寸大键盘，独立数字键，散热的布局 在两侧和底部都有比较合理，杜比音响效果认证， 最重要的是16寸大机器，整机质量能够控制在两公 斤以内，水平是优秀滴
运行速度：很快高级
屏幕效果：显示流畅
散热性能：散热性能：不烫 
外形外观：美丽高级
轻薄程度：轻薄
其他特色：很喜欢",2025-02-07 17:35:02,湖北
j***f,5,刚够联想笔记本电脑小新Pro14 ，AI超能本 高性能标压酷睿Ultra5， 电脑轻薄本 ，是32G 1T 2.8K OLED高刷屏 ，游戏不卡顿，还有国补，小柿子客服棒棒哒！,2025-01-23 15:49:09,吉林
j***3,5,"运行速度：好 挺快的
屏幕效果：清晰流畅
外形外观：银色外表 美观大方
其他特色：包装完美，物流很快，当天买隔天就到了
轻薄程度：不薄也不厚刚刚好 方便携带",2025-02-07 11:05:01,湖南
o***w,5,"第一次在京东购买笔记本电脑，不错的,轻薄本,很漂亮,很薄,简约大气真的很好看了。开机速度也快。音响环绕声很赞,还有护眼模式,磨砂感屏幕感觉舒适不反光,人脸识别很方便。反应速度快,系统很流畅,办公游戏妥妥的。  外观简洁小巧,很给力。早上下单,下午收获，京东速度就是牛,本本很小巧,非常喜欢，开机了,都听不见风扇声音，纯金属外壳，值得拥有屏幕效果:2.8k的屏幕看起来真的很清晰。屏幕显示效果非常好,找看大片的效果也非常的好运行速度：运行流畅，兼容性很好。运行速度非常的快，效果好。是一款很轻便的轻薄本联想笔记本电脑。物流很快,包装内衬保护也有特色。初步感觉外观轻薄，重量合适，携带方便。手感不错，做工细节到位，深空灰适合各类场景。各方面使用感觉都 OK ，暂时没有发现什么缺陷。",2025-02-15 11:01:21,安徽
_***-,5,笔记本电脑外观呈灰色，简单大气上档次，看起来很舒服！酷睿UItra5运行顺畅，运行速度非常快！内存足够大！续航也很好！买它！！！,2025-02-07 09:57:28,江苏
6***x,5,"运行速度：快，
屏幕效果：好
散热性能：好
外形外观：漂亮。联想'酷睿Ultra'笔记本电脑非常好，正好国家有补贴便宜了一千二百块钱太实惠了。",2025-01-25 14:04:53,江苏
密***工,5,宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买强烈推荐！商品物超所值，质量可靠。物流快，商家服务热情，售后服务完善。发货很快，包装的很好，价格也特别实惠，还有这么多功效也是不错了，值得购买质量好，价格低，这性价比没谁了。物流飞速，商家服务优质，售后让人放心，强烈推荐！,2025-01-19 13:18:32,山东
2***f,5,"运行速度：运行速度十分的快
屏幕效果：屏幕效果很赞
散热性能：打游戏非常好
外形外观：外表很清新
轻薄程度：很薄 不重",2025-01-23 17:18:25,江苏
削***者,5,值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！很满意👍，做工很好，物流快，客服很棒，点赞,2025-02-01 21:06:09,江苏
j***6,5,这次购物非常满意，商品性价比高，质量可靠。物流高效，商家服务周到，售后完善。最主要看中这个电脑的新cpu  &lsquo;酷睿Ultra&rsquo;，非常好用显卡性能也提上来了。,2025-02-08 19:35:53,福建
1***f,5,"运行速度：很快
屏幕效果：清晰
散热性能：很好
外形外观：好看
轻薄程度：很轻
其他特色：酷睿Ultra
送货很快当天就到了，用了几天了，都很顺利。酷睿Ultra不错！",2025-01-20 21:58:45,辽宁
j***6,5,"运行速度：很快！酷睿ultra9的处理器完全OK
屏幕效果：很清晰！视频电影非常优秀！16寸的屏幕很大！
散热性能：一般使用风扇不转，很适合商务静音使用！
轻薄程度：挺轻快的！很便携！",2025-02-01 19:50:00,山东
j***7,5,"细节非常完美，整体来说真的很不错。性价比很高，下次还会继续光顾！
跟描述的是一样的，很显高档，物美价廉，要买的朋友可以一起下单！",2025-01-24 15:12:19,广东
u***4,5,"运行速度：运行速度：因特尔酷睿Ultra处理器用起来很流畅
外形外观：外形外观：符合轻薄笔记本印象，外观简约大方",2025-01-19 19:57:12,湖北
6***g,5,"酷睿Ultra
运行速度：运行速度挺快的
屏幕效果：屏幕效果杠杠的
散热性能：散热性能没得说
外形外观：外形颜值在线
轻薄程度：比以前的笔记本轻到哪里去了。",2025-02-08 09:28:14,四川
j***b,5,"质量非常好，与卖家描述的完全一致，真的很喜欢，完
全超出期望值，发货速度非常快，包装非常仔细、严
实。物流公司服务态度很好，运送速度很快，很满意的
一次购物！质量很好，希望更多的朋友信赖",2025-02-06 09:45:54,江苏
具***爱,5,"小新pro14酷睿ultra5太棒了
运行速度：非常快
屏幕效果：很好
散热性能：不错不错
外形外观：很漂亮",2025-01-25 09:49:33,四川
j***1,5,"运行速度：非常快，
屏幕效果：很清晰，
散热性能：用了一段时间感觉挺好
外形外观：经典时尚
轻薄程度：轻薄适中，还不重",2025-01-20 16:28:28,吉林
熊***6,5,细节非常完美，整体来说真的很不错，性价比很高，下次还会继续光顾。材质结实，手感好，很得劲，物流也快，性价比很高，值得购买质量很过关，品质优保障，相当不错的选择，好多朋友看我用都想买，我都推荐了。,2025-02-14 23:05:17,广东
w***1,5,"这款机器的整体配置比较均衡，内置了&ldquo;酷睿
Ultra&rdquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内。",2025-02-11 20:06:07,湖南
j***9,5,爱了爱了!这款机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&rdquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证,2025-02-16 14:46:47,山东
2***微,5,酷睿Ultra很牛！智能AI、联想AI、酷睿A！！ 牛的！质量很好！新电脑用这特别舒服，还记得19年也买了一款小新笔记本，然后一直用了很多年，现在可以光荣退休了，oled屏幕很 鲜艳，特别适合看剧，杜比全景声也很震撼，充电速度快，充电头也很小巧，特别是机身的重量也很小巧。,2025-01-23 13:12:08,江西
包***3,5,酷睿UItra很牛！智能AI、联想AI、酷睿AI！牛的！质量很好！新电脑用这特别舒服，还记得19年也买了一款小新笔记本，然后一直用了很多年，现在可以光荣退休了，oled屏幕很鲜艳，特别适合看剧，杜比全景声也很震撼，充电速度快，充电头也很小巧，特别是机身的重量也很小巧。,2025-02-06 12:55:30,河南
j***0,5,爱了爱了！这款机器的整体配置比较均衡，内置了&lsquo;酷睿Ultra&rsquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内，水平是优秀滴，这次购物体验超棒！物流速度也快，尤其是客服小桃很好啊，回复及时又耐心，有问必答，帮我解决了好多疑问，必须给个大大的好评！,2025-01-22 19:15:19,山西
旊***炑,3,看视频，满电量两个半小时,2022-12-16 08:07:16,未知
r***c,5,这款电脑整体配置比较均衡，内置了酷睿Ultra芯片，外观上金属机身，很好看，很时尚，杜比音响效果很好，16英寸的机器，重量还可以接受,2025-02-03 12:51:57,江苏
u***m,5,"酷睿Ultra真的很棒
运行速度：非常快
屏幕效果：细腻分辨率高
散热性能：几乎感觉不到发热
外形外观：品控很好
轻薄程度：很薄
其他特色：键盘手感出色",2025-02-09 14:35:55,江苏
南***七,5,这款机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&rdquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内,2025-02-14 16:17:41,吉林
j***y,5,爱了爱了！这款机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&quot;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120 赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内，水平是优秀滴,2025-02-13 23:08:31,河南
E***C,5,"运行速度：酷睿Ultra芯片运行速度快，使用非常方便
外形外观：电脑外观长得很漂亮，摸起来手感也很好
散热性能：散热性能好，用了也不怎么发烫，挺好的
屏幕效果：屏幕很大，看起来很舒服",2025-01-25 11:47:44,重庆
J***s,5,"酷睿Ultra很牛!智能AI、联想AI、酷睿AI!牛的!质量很好!新电脑用这特别舒服，oled屏幕很鲜艳，特别适合看剧，杜比全景声也很震撼，充电速度快，充电头也很小巧，特别是机身的重量也很小巧。
主要是16寸大屏，虽然略重，但性价比极好",2025-02-06 21:54:21,广东
道***手,5,爱了爱了!这款机器的整体配置比较均衡，内置了&ldquo;酷睿 Ultra&rdquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内，水平是优秀滴,2025-02-16 14:52:32,上海
j***g,5,这款机器的整体配置比较满意，内置了&ldquo;酷睿Ultra&rdquo;新型芯片，性能上完全够用，重量也在可接受范围一下，对于女生使用很友好，性价比很高的一次购物体验,2025-02-15 21:33:30,广东
S***5,5,爱了爱了！这款机器的整体配置比较均衡，内置了&ldquo;酷睿Ultra&rdquo;新型芯片，性能上应该三年之内都不用担心。外观上全金属机身，很有时尚气质，貌似商务机又不失灵动。拥有一块很能打的120赫兹的高刷屏幕，全尺寸大键盘，独立数字键，散热的布局在两侧和底部都有比较合理，杜比音响效果认证，最重要的是16寸大机器，整机质量能够控制在两公斤以内，水平是优秀滴,2025-02-16 22:38:28,河南
夏***雨,5,小新Pro14寸笔记本，酷睿Ultra5 + 32G + 1T 2.8k分辨率，120hz刷新率，这配置和内存基本不用拆了再升级了。1.46kg也很便携，ABD面金属，背光键盘，办公用足够了。虽然i7版本同样的价格，但是ultra5是32G的内存，还有84的电池，占优势，所以选的ultra5的版本，里面的是100w的充电器，总体性价比不错。快递效率，开票迅速！,2025-01-21 20:40:48,湖北
一***人,5,经过对比挑选 &ldquo;小新Pro 16 酷睿 Ultra 5 笔记本电脑&rdquo; 送到家了，与原有的笔记本电脑相比，运行速度快多了。windows 11 的界面和操作习惯，还需要慢慢习惯。小新的16寸电脑屏幕，比之前的14寸的要大很多，也轻薄了不少。,2025-02-09 11:27:28,北京
鱼***3,5,"运行速度：酷睿Ultra系统首次使用，运行快。
屏幕效果：分辨率高，清晰度高
轻薄程度：16轻薄本，适合牛马上下班路上带着
外形外观：外观漂亮且开机键盘灯光好看。",2025-01-26 17:32:21,北京
李***诗,5,送货快，国补换新机划算，联想做工进步了，上个本买的amd平台，用着没intel爽，这次买了小新 新一代 酷睿Ultra 5，重做了系统，体验还不错，还是32g内存够用几年了，本子做工比以前要好多了，加油！！,2025-02-09 19:21:38,四川
